timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-17,1.57200000,1.64100000,1.54900000,1.63700000,2996636.91900000,1595030399999,4771344.74702500,19047,1614832.32300000,2573880.82741100,0
2020-07-18,1.63600000,1.92000000,1.63500000,1.82600000,10925688.77900000,1595116799999,19638059.81605000,75259,5951557.60200000,10688439.08340800,0
2020-07-19,1.82700000,1.83600000,1.67800000,1.69100000,4329923.96300000,1595203199999,7525435.70451500,32334,1866944.62300000,3246627.65559500,0
2020-07-20,1.69200000,1.78500000,1.59100000,1.63500000,4063676.62300000,1595289599999,6914607.88794200,30561,2070775.46600000,3532219.61309100,0
2020-07-21,1.63300000,1.70600000,1.60300000,1.65600000,2823066.74500000,1595375999999,4635359.23758800,22176,1362744.17000000,2239243.76895200,0
2020-07-22,1.65600000,1.69200000,1.62000000,1.64000000,2702225.15600000,1595462399999,4484270.95391300,14441,1233520.20500000,2048679.59444400,0
2020-07-23,1.64000000,1.66700000,1.57300000,1.60200000,2241416.33900000,1595548799999,3639313.11059200,9171,923171.47300000,1498845.66628800,0
2020-07-24,1.60300000,1.62900000,1.53700000,1.58700000,2714283.89300000,1595635199999,4316148.51212500,10997,1283251.15400000,2041717.02410400,0
2020-07-25,1.58700000,1.65000000,1.53400000,1.53700000,3840870.58600000,1595721599999,6071615.09700700,16753,1855415.61200000,2936644.14207500,0
2020-07-26,1.53900000,1.59300000,1.43800000,1.51100000,4055829.94300000,1595807999999,6140359.65160000,16163,1939082.28900000,2940927.97793200,0
2020-07-27,1.51200000,1.53600000,1.25700000,1.37500000,6218739.16700000,1595894399999,8545928.80214600,22192,2960485.50600000,4061892.07411900,0
2020-07-28,1.37400000,1.51400000,1.36400000,1.46300000,3773179.86500000,1595980799999,5501800.89799900,17183,1948849.89100000,2842928.06068700,0
2020-07-29,1.46300000,1.50400000,1.38800000,1.41900000,2993005.89500000,1596067199999,4335772.92400400,11020,1441764.20700000,2089332.52997200,0
2020-07-30,1.41800000,1.51100000,1.40500000,1.44300000,4218514.36700000,1596153599999,6161597.51437700,15316,2154432.15700000,3148502.11500500,0
2020-07-31,1.44400000,1.50500000,1.43200000,1.46700000,4698896.01800000,1596239999999,6907220.74002700,15498,2262599.30300000,3325811.79826400,0
2020-08-01,1.46700000,1.53800000,1.44800000,1.48000000,4721256.53400000,1596326399999,7055447.70135800,17447,2332984.49300000,3490251.12105200,0
2020-08-02,1.47800000,1.50600000,1.18400000,1.41100000,5347612.17200000,1596412799999,7496822.68408600,26582,2695878.40400000,3784157.99830700,0
2020-08-03,1.41400000,1.44100000,1.37400000,1.39100000,3147962.01000000,1596499199999,4450070.28276100,12035,1576056.85500000,2228944.48776700,0
2020-08-04,1.39000000,1.50000000,1.38000000,1.48200000,3651887.15400000,1596585599999,5253158.48715700,14132,1977811.32300000,2847651.67058200,0
2020-08-05,1.48200000,1.60600000,1.48100000,1.52700000,8695977.99900000,1596671999999,13460472.83940200,36481,4367537.30900000,6763065.25705000,0
2020-08-06,1.52500000,1.65700000,1.49700000,1.60300000,5633729.29400000,1596758399999,8842640.66326600,21246,2902829.30700000,4563558.83277200,0
2020-08-07,1.60300000,1.63800000,1.43900000,1.52700000,4303250.56000000,1596844799999,6725631.09342300,17322,1985135.38100000,3110025.11506800,0
2020-08-08,1.52600000,1.73700000,1.50900000,1.68200000,4493482.27000000,1596931199999,7229841.78191600,20565,2389132.50400000,3852266.20228500,0
2020-08-09,1.68400000,1.82500000,1.62000000,1.78700000,5710652.84800000,1597017599999,9783508.08250500,31386,2796662.09200000,4802009.75106400,0
2020-08-10,1.78600000,1.80500000,1.58700000,1.71500000,5192431.10100000,1597103999999,8872636.45021400,30843,2663776.02000000,4556817.65879200,0
2020-08-11,1.71300000,1.72700000,1.50000000,1.61000000,4293244.41600000,1597190399999,6919234.15236100,22574,2009449.91500000,3235547.65284300,0
2020-08-12,1.60800000,1.73000000,1.54400000,1.68300000,4641439.78600000,1597276799999,7706673.75059800,26549,2289117.43700000,3803660.48835000,0
2020-08-13,1.68300000,1.99000000,1.59700000,1.74600000,12523068.10800000,1597363199999,22344244.80199500,64813,6447178.26600000,11543775.74703700,0
2020-08-14,1.74500000,2.04800000,1.70200000,1.87600000,14752050.26700000,1597449599999,28303466.64878400,76170,7752388.18900000,14881202.00385900,0
2020-08-15,1.87600000,1.99000000,1.78800000,1.84200000,5759406.06400000,1597535999999,10924306.32381800,31365,2822335.49500000,5360343.29661200,0
2020-08-16,1.84000000,1.93800000,1.79600000,1.87700000,4026687.20300000,1597622399999,7474698.50109700,22122,1981154.72200000,3681115.76594900,0
2020-08-17,1.87900000,1.94600000,1.74800000,1.77200000,4022826.70300000,1597708799999,7424810.48082500,24665,1834436.25100000,3394403.41157700,0
2020-08-18,1.77400000,1.81500000,1.61700000,1.66900000,3396098.97100000,1597795199999,5842506.77066500,20194,1504838.87400000,2590820.91836300,0
2020-08-19,1.67200000,1.72900000,1.48600000,1.59100000,3753759.38100000,1597881599999,5998946.65184300,22165,1778455.94100000,2839923.10205700,0
2020-08-20,1.59300000,1.80900000,1.55300000,1.71000000,4551825.43800000,1597967999999,7608574.38246700,26097,2342287.91400000,3925734.45064600,0
2020-08-21,1.71100000,1.92300000,1.65000000,1.65000000,7953128.57700000,1598054399999,14211077.38942600,55755,3912284.26300000,7012286.23006000,0
2020-08-22,1.65000000,1.75000000,1.55500000,1.72100000,3455883.18300000,1598140799999,5735080.71731900,19461,1742425.98200000,2893445.15472900,0
2020-08-23,1.72300000,1.77500000,1.64000000,1.70800000,3795808.71400000,1598227199999,6472103.11759900,18850,1826495.03200000,3114997.65080200,0
2020-08-24,1.71400000,1.73000000,1.66000000,1.68400000,2410196.97900000,1598313599999,4080356.23508000,12972,1040038.02900000,1761401.19756800,0
2020-08-25,1.68500000,1.69700000,1.53100000,1.58600000,2997342.29900000,1598399999999,4834537.89156200,16025,1159123.50100000,1872323.30119000,0
2020-08-26,1.58700000,1.64900000,1.55800000,1.62700000,1987901.11200000,1598486399999,3189446.74684900,10537,982760.56800000,1576734.94475600,0
2020-08-27,1.62900000,1.64600000,1.49400000,1.54900000,2198813.01200000,1598572799999,3461363.52673400,10462,1027378.56800000,1627014.00730800,0
2020-08-28,1.55100000,1.62900000,1.51400000,1.58800000,2098030.41400000,1598659199999,3334684.98271000,10006,1034902.21100000,1645973.24995400,0
2020-08-29,1.58800000,1.70700000,1.54800000,1.65300000,3388331.51700000,1598745599999,5507212.86063400,16164,1699779.18800000,2761761.27466800,0
2020-08-30,1.65200000,1.79500000,1.64400000,1.70600000,3894341.38800000,1598831999999,6749231.20388600,16992,2149712.86300000,3726070.87620900,0
2020-08-31,1.70700000,1.84600000,1.70300000,1.80200000,3611599.25200000,1598918399999,6391423.64222600,18829,1959679.49900000,3474595.11955000,0
2020-09-01,1.80400000,1.85800000,1.72800000,1.74300000,4312294.53800000,1599004799999,7776835.77385300,24298,2207676.33700000,3993154.02753700,0
2020-09-02,1.73900000,1.75400000,1.56500000,1.65900000,3673615.13800000,1599091199999,6058075.00581100,21494,1758800.27000000,2902110.27295900,0
2020-09-03,1.65800000,1.67100000,1.22200000,1.26600000,6467765.10200000,1599177599999,9473136.97289900,33179,2969072.06900000,4360232.03045200,0
2020-09-04,1.26500000,1.41100000,1.23700000,1.33800000,4468312.89900000,1599263999999,5932302.49135500,23330,1794142.30700000,2391087.58311900,0
2020-09-05,1.33800000,1.39300000,1.04700000,1.18100000,5082583.13600000,1599350399999,6188129.23956900,27425,2182277.89400000,2674339.92457700,0
2020-09-06,1.18100000,1.31900000,1.10100000,1.29900000,2862771.00800000,1599436799999,3492969.39087600,14068,1431921.92400000,1750030.19000100,0
2020-09-07,1.29900000,1.33800000,1.14000000,1.24600000,2847425.70100000,1599523199999,3521751.29630500,13595,1399291.99500000,1734463.75920100,0
2020-09-08,1.24900000,1.25300000,1.13200000,1.17900000,2189550.90000000,1599609599999,2614541.26351200,8948,941981.76900000,1129026.78048500,0
2020-09-09,1.18000000,1.24600000,1.15100000,1.22200000,1739956.44600000,1599695999999,2097233.53649900,7297,829446.13300000,1000409.44794900,0
2020-09-10,1.22100000,1.27500000,1.20100000,1.23700000,2048289.81900000,1599782399999,2534996.91389600,7704,1032257.58200000,1279286.58390900,0
2020-09-11,1.23900000,1.24300000,1.18100000,1.22700000,2096508.20900000,1599868799999,2512491.65139100,11314,902563.26800000,1083843.77330900,0
2020-09-12,1.22800000,1.32700000,1.20800000,1.32400000,2465953.97600000,1599955199999,3103819.40419000,9050,1128190.78800000,1420235.23890000,0
2020-09-13,1.32400000,1.34000000,1.17900000,1.22600000,3027069.42200000,1600041599999,3805499.46232600,11230,1293608.71200000,1626612.83448300,0
2020-09-14,1.22500000,1.24700000,1.17800000,1.22100000,2480970.84500000,1600127999999,2996380.40244400,8305,1312697.56800000,1587314.52027800,0
2020-09-15,1.22100000,1.23900000,1.16200000,1.17200000,1933809.44300000,1600214399999,2318907.49361800,7048,770741.38200000,929168.93671300,0
2020-09-16,1.17100000,1.18700000,1.10900000,1.15700000,2088548.82300000,1600300799999,2396067.60184800,10580,952825.96300000,1092939.91961100,0
2020-09-17,1.15800000,1.19800000,1.11200000,1.11800000,3270792.26600000,1600387199999,3736639.19068100,10509,1432032.83400000,1636429.24394600,0
2020-09-18,1.11800000,1.14000000,1.03000000,1.06000000,3104591.26500000,1600473599999,3387474.03195800,10710,1290950.79900000,1408613.09263900,0
2020-09-19,1.05900000,1.07300000,1.01000000,1.05700000,1596512.07900000,1600559999999,1667086.58551300,6386,730767.02000000,763588.92819600,0
2020-09-20,1.05600000,1.10200000,0.99100000,1.01100000,2058982.13200000,1600646399999,2159082.58872000,7640,923880.87500000,972252.34097100,0
2020-09-21,1.01000000,1.03200000,0.85900000,0.90500000,4240830.37700000,1600732799999,3909142.16494000,12891,1864795.33500000,1729542.35719300,0
2020-09-22,0.90800000,0.97300000,0.87400000,0.94200000,1673777.28200000,1600819199999,1540006.44504700,5095,790297.19800000,730457.25918000,0
2020-09-23,0.94100000,0.94700000,0.85400000,0.85800000,2418803.51600000,1600905599999,2183357.71624500,6168,940350.78400000,851103.52359600,0
2020-09-24,0.85800000,0.94300000,0.85200000,0.94000000,1407556.70100000,1600991999999,1267214.94135700,4223,762263.44600000,688496.63531200,0
2020-09-25,0.93800000,1.02500000,0.90400000,0.98000000,2263523.83800000,1601078399999,2197096.25437200,7047,1119081.51000000,1083272.77992800,0
2020-09-26,0.97900000,1.06800000,0.97500000,1.02200000,1944156.43700000,1601164799999,1975791.82220100,6561,959823.63700000,975655.66817800,0
2020-09-27,1.02300000,1.04400000,0.95800000,1.00800000,1511565.32700000,1601251199999,1501127.50448500,5153,815604.08900000,808416.25343500,0
2020-09-28,1.00700000,1.06000000,0.97700000,0.99200000,2004456.55700000,1601337599999,2060333.91670500,9000,863943.76300000,888057.48044200,0
