timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-08-17,301.13,312.18,298.0,302.0,7030.71034,1503014399999,2154655.3003566,4522,6224.58999,1908705.3685302,50579.87228839
2017-08-18,302.0,311.79,283.94,293.96,9537.84646,1503100799999,2858946.5093539,5658,7452.43542,2240813.2612264,55329.57432378
2017-08-19,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.5898617,1795,1537.9755,444713.6122086,58005.17104565
2017-08-20,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.8945599,2038,2186.68739,647506.0620205,60299.06615403
2017-08-21,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.341214,3925,4004.19967,1297977.4231142,66203.84022245
2017-08-22,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.8033137,6577,4433.78132,1364472.488333,66821.52067468
2017-08-23,312.25,324.99,309.41,315.74,8665.72569,1503532799999,2753464.9450408,8540,2282.23633,728206.9176149,76587.70953099
2017-08-24,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.1141537,6495,1901.90029,610929.1471679,102226.34289434
2017-08-25,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.038294,7452,2595.82561,859314.6835184,106332.85796088
2017-08-26,327.24,335.44,323.41,330.79,4877.68521,1503791999999,1601994.3773166,4400,941.99655,311132.2631003,92462.65806951
2017-08-27,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.3581603,4973,1166.20029,392130.1151986,88406.05374074
2017-08-28,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.1691041,4526,1114.26279,383473.9889103,82902.92984582
2017-08-29,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.6205809,3265,923.16784,334768.8104693,85024.5447343
2017-08-30,374.7,393.71,362.05,385.93,4446.59608,1504137599999,1679526.2125115,4812,1285.37799,487837.7447577,84593.83335425
2017-08-31,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.3942666,4574,1432.19381,550808.610884,82026.24194321
2017-09-01,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.6137661,4124,1564.05531,609630.9497713,84919.76768269
2017-09-02,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.4613861,8217,2460.66776,868487.2833919,87519.78442451
2017-09-03,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.6178029,6153,2240.91753,767938.2521776,88087.12404857
2017-09-04,339.29,344.55,267.94,283.77,6737.81061,1504569599999,2002446.181802,7403,2954.16805,877011.1066647,77119.81932553
2017-09-05,286.81,321.52,235.55,312.09,8344.41924,1504655999999,2397490.9178386,8999,4312.97282,1251958.9913116,82323.90789166
2017-09-06,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.8584994,7089,2183.65363,713126.1017199,84763.06977404
2017-09-07,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.6869524,2635,1321.09841,438034.1732964,82526.80962161
2017-09-08,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.8866163,3227,2306.94838,698362.8493954,79848.59094656
2017-09-09,300.01,307.0,281.66,296.74,2740.58822,1505001599999,813750.3589359,1956,1755.91508,520754.9145735,74712.70835115
2017-09-10,296.72,302.78,261.03,293.5,4156.45099,1505087999999,1181903.7721999,2494,2282.40311,651266.4580305,72108.07698301
2017-09-11,293.51,304.98,285.21,297.3,4829.64647,1505174399999,1436811.8161569,3490,2412.24221,718382.7521632,70010.65222023
2017-09-12,297.78,316.46,286.01,293.96,5176.31402,1505260799999,1573452.4124519,5279,2207.60465,671349.2542697,70070.60153339
2017-09-13,293.93,294.5,257.05,276.91,6451.22836,1505347199999,1761080.8976069,4527,3264.55673,890399.3695974,67083.5424068
2017-09-14,275.76,283.77,215.0,215.21,12601.95676,1505433599999,3110767.7805647,8166,4455.23882,1100931.1454267,67291.11800887
2017-09-15,217.0,270.93,192.0,253.0,14223.8953,1505519999999,3319311.826735,9198,5945.8076,1386660.0368027,64252.91009631
2017-09-16,255.99,271.81,235.51,249.31,10362.06011,1505606399999,2647152.3723708,8859,3866.60141,995005.3267045,63644.31507206
2017-09-17,249.32,264.39,239.02,257.55,4614.53337,1505692799999,1149704.2949294,5277,1442.00382,360268.4738608,61101.13737514
2017-09-18,257.53,306.22,257.11,294.57,4125.97051,1505779199999,1182937.633574,3440,2342.68408,669740.5214988,60397.47132269
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,1505865599999,535773.5652001,1896,789.82937,226839.7065421,60344.7395528
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,1505951999999,302739.7337531,1431,566.64637,162290.4185872,60239.65020019
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,1506038399999,516193.1970608,2751,579.77742,156157.9954675,60609.52923576
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,1506124799999,382962.217943,2144,612.61937,160401.2878139,63316.93684299
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,1506211199999,788810.3244239,3901,841.43467,233418.256899,62508.86990743
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,1506297599999,1582877.4871329,8022,1314.52754,373569.556758,62729.13499539
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,1506383999999,1705551.9921018,9165,1950.58866,567363.4490881,64184.33111866
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,1506470399999,1332125.1654396,7329,1073.93969,313528.6412562,71142.64377362
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,1506556799999,1641896.8743651,8208,1276.45702,380606.4657897,74084.8877869
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,1506643199999,2009233.8887105,10534,2210.54916,674345.9209191,82349.71463412
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,1506729599999,3213725.0903979,13098,5176.62946,1501566.8615152,81911.33521906
