"","timestamp","open","high","low","close","volume","close_time","quote_av","trades","tb_base_av","tb_quote_av","ignore"
"1",2020-12-12 00:00:00,544.46,555.97,543.1,555.15,49961.60605,1607734799999,27550876.5451091,24126,26918.96528,14846317.0319649,0
"2",2020-12-12 01:00:00,555.17,557.14,552.59,552.88,21481.20446,1607738399999,11900724.7695601,11423,10819.24729,5994585.8477466,0
"3",2020-12-12 02:00:00,552.86,557.63,552.75,556.62,15621.72787,1607741999999,8669850.2810289,9937,8478.91141,4706356.5624587,0
"4",2020-12-12 03:00:00,556.63,556.69,554.13,554.65,16257.10988,1607745599999,9027010.393329,8933,8411.79605,4670411.7077464,0
"5",2020-12-12 04:00:00,554.58,560.92,553.7,559.74,30766.50082,1607749199999,17151970.40898,13205,17344.77186,9673692.4753654,0
"6",2020-12-12 05:00:00,559.78,560.67,556.54,556.76,22185.7041,1607752799999,12396161.6911423,9645,12669.6877,7078412.9451816,0
"7",2020-12-12 06:00:00,556.79,559,555.12,556.44,16281.89962,1607756399999,9066251.7114224,8968,8634.02338,4807571.6959605,0
"8",2020-12-12 07:00:00,556.45,559.99,556.41,558.98,14453.00732,1607759999999,8069449.1846533,16645,7606.67354,4246776.1709919,0
"9",2020-12-12 08:00:00,558.95,560.65,556.01,557.39,18841.94663,1607763599999,10515216.6356651,10564,8959.12685,4999388.0815571,0
"10",2020-12-12 09:00:00,557.34,559.41,555.33,556.49,16172.13732,1607767199999,9012762.0421643,10424,7926.06797,4417080.4858985,0
"11",2020-12-12 10:00:00,556.49,557.79,553.92,554.97,16055.71707,1607770799999,8923111.9441583,8810,7619.73947,4234950.6305025,0
"12",2020-12-12 11:00:00,555.02,559.64,554.44,559.49,18410.41136,1607774399999,10262895.0908778,10008,9124.952,5087181.1367968,0
"13",2020-12-12 12:00:00,559.51,560.39,556.48,557.25,16885.34372,1607777999999,9428243.7377466,12031,8415.22414,4699914.1480091,0
"14",2020-12-12 13:00:00,557.26,557.97,555.3,555.53,17834.75741,1607781599999,9918168.5946201,13573,9866.56708,5486525.2495329,0
