"","timestamp","open","high","low","close","volume","close_time","quote_av","trades","tb_base_av","tb_quote_av","ignore"
"1",2020-12-12 00:00:00,18036.53,18370,18020.7,18342.06,4583.783306,1607734799999,83518877.2746995,79103,2686.945366,48956248.3614726,0
"2",2020-12-12 01:00:00,18342.05,18375,18271.1,18283.84,1922.630745,1607738399999,35210286.7875581,42881,908.699715,16642075.8000257,0
"3",2020-12-12 02:00:00,18283.84,18350,18278.14,18319.99,1370.498539,1607741999999,25103513.9509164,28847,679.576033,12449033.9434069,0
"4",2020-12-12 03:00:00,18319.99,18336.82,18268.34,18282.02,1178.519836,1607745599999,21559345.2046211,23250,540.51911,9887671.52880309,0
"5",2020-12-12 04:00:00,18282.01,18390,18261.32,18370.28,1520.77657,1607749199999,27869553.4241243,33999,907.141618,16624966.8383118,0
"6",2020-12-12 05:00:00,18370.28,18398.19,18310.01,18313.36,1600.542043,1607752799999,29369634.5059441,30636,740.33865,13585376.3497448,0
"7",2020-12-12 06:00:00,18313.35,18366.24,18278.91,18315.76,1342.470282,1607756399999,24588909.2404695,27515,621.7668,11387695.8337242,0
"8",2020-12-12 07:00:00,18315.76,18400,18300.67,18380.85,1514.440818,1607759999999,27785295.9173584,34863,859.547281,15772311.0890936,0
"9",2020-12-12 08:00:00,18380.85,18450,18318.98,18377.64,2153.284652,1607763599999,39587861.4201429,39165,1117.827346,20553994.3809637,0
"10",2020-12-12 09:00:00,18377.35,18478,18345.14,18433.47,1957.433154,1607767199999,36067439.0008953,35727,1049.450461,19335298.1088048,0
"11",2020-12-12 10:00:00,18433.47,18459.42,18370,18382.1,1482.558626,1607770799999,27288453.663238,30809,735.355258,13535649.3639793,0
"12",2020-12-12 11:00:00,18382.11,18513.66,18366.68,18506.1,1892.703046,1607774399999,34939468.4266645,33239,1091.583665,20152843.3886098,0
"13",2020-12-12 12:00:00,18506.1,18525.33,18427.01,18445.15,1831.731773,1607777999999,33837614.6322016,29863,803.856155,14848966.1791724,0
"14",2020-12-12 13:00:00,18445.14,18451.35,18388.88,18400.21,1443.035834,1607781599999,26575944.5185883,26155,688.634154,12682704.144166,0
"15",2020-12-12 14:00:00,18400.21,18475.63,18308.82,18372.97,2537.663833,1607785199999,46678373.3286911,41714,1257.904367,23137518.659556,0
"16",2020-12-12 15:00:00,18372.98,18434.62,18317.67,18399.01,1786.916682,1607788799999,32835455.2532944,35603,946.802757,17398935.6837939,0
"17",2020-12-12 16:00:00,18399.01,18450.46,18362.42,18397.88,1754.689938,1607792399999,32300285.1253518,37624,870.258127,16020996.2438498,0
